Site_Number,Station_Name,Lat,Long,Ecoli,Enterococci,Type
7155590,"CIMARRON R NR ELKHART, KS",37.12196746,-101.8979456,0,0,Streamflow
7156900,"Cimarron River near Forgan, OK",37.0111372,-100.4918171,0,0,Streamflow
7157500,"CROOKED C NR ENGLEWOOD, KS",37.032528,-100.2112531,0,0,Streamflow
7157950,"Cimarron River near Buffalo, OK",36.85197484,-99.315387,0,0,Streamflow
7158000,"Cimarron River near Waynoka, OK",36.51725644,-98.8795366,0,0,Streamflow
7159100,"Cimarron River near Dover, OK",35.95170756,-97.9144994,0,0,Streamflow
7159750,"Cottonwood Creek near Seward, OK",35.81366006,-97.478097,0,0,Streamflow
7160000,"Cimarron River near Guthrie, OK",35.9206023,-97.4258746,0,0,Streamflow
7160350,"Skeleton Creek at Enid, OK",36.3761449,-97.8003332,0,0,Streamflow
7160500,"Skeleton Creek near Lovell, OK",36.06004045,-97.5850471,0,0,Streamflow
7161450,"Cimarron River near Ripley, OK",35.9858927,-96.9122504,0,0,Streamflow
7164500,"Arkansas River at Tulsa, OK",36.14064807,-96.0063866,0,0,Streamflow
7164600,"Joe Creek at 61st St at Tulsa, OK",36.07565044,-95.9605501,0,0,Streamflow
7165562,"Haikey Creek at 101st St South at Tulsa, OK",36.01704297,-95.8488777,0,0,Streamflow
7165565,"Little Haikey Creek at 101st St South at Tulsa, OK",36.01759824,-95.8608227,0,0,Streamflow
7165570,"Arkansas River near Haskell, OK",35.82277778,-95.6377778,0,0,Streamflow
7170500,"VERDIGRIS R AT INDEPENDENCE, KS",37.22368014,-95.6777573,0,0,Streamflow
7171000,"Verdigris River near Lenapah, OK",36.85119615,-95.5860882,0,0,Streamflow
7174400,"Caney River above Coon Creek at Bartlesville, OK",36.75564425,-95.9722064,0,0,Streamflow
7175500,"Caney River near Ramona, OK",36.5089816,-95.8419306,0,0,Streamflow
7176000,"Verdigris River near Claremore, OK",36.3075,-95.6997222,0,0,Streamflow
7176321,"Bird Creek at SH 99 at Pawhuska, OK",36.66694444,-96.3138889,0,0,Streamflow
7176500,"Bird Creek at Avant, OK",36.48508798,-96.0602743,0,0,Streamflow
7176950,"Hominy Creek near Hominy, OK",36.4736793,-96.3789064,0,0,Streamflow
7177500,"Bird Creek near Sperry, OK",36.27842534,-95.954162,0,0,Streamflow
7177650,"Flat Rock Creek at Cincinnati Ave at Tulsa, OK",36.21536936,-95.9952759,0,0,Streamflow
7177800,"Coal Creek at Tulsa, OK",36.1945384,-95.9141599,0,0,Streamflow
7178000,"Bird Creek near Owasso, OK",36.24870534,-95.867213,0,0,Streamflow
7178200,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,0,0,Streamflow
7183500,"NEOSHO R NR PARSONS, KS",37.34005866,-95.1099687,0,0,Streamflow
7185000,"Neosho River near Commerce, OK",36.92868144,-94.9574574,0,0,Streamflow
7185030,"Elm Creek near Commerce, OK",36.92166667,-94.9183333,0,0,Streamflow
7185090,"Tar Creek near Commerce, OK",36.94367956,-94.8532862,0,0,Streamflow
7185095,"Tar Creek at 22nd Street Bridge at Miami, OK",36.90006955,-94.8682878,0,0,Streamflow
7188000,"Spring River near Quapaw, OK",36.93451148,-94.7471711,0,0,Streamflow
7188005,"Beaver Creek near Quapaw, OK",36.93388889,-94.7538889,0,0,Streamflow
7189000,"Elk River near Tiff City, Mo",36.63146127,-94.5868886,0,0,Streamflow
7189540,"Cave Springs Branch near South West City, MO",36.547297,-94.6180004,0,0,Streamflow
7189542,"Honey Creek near South West City, MO",36.54888889,-94.6836111,0,0,Streamflow
7190500,"Neosho River near Langley, OK",36.4389742,-95.048573,0,0,Streamflow
7191000,"Big Cabin Creek near Big Cabin, OK",36.56841789,-95.1521891,0,0,Streamflow
