Site_Number,Station_Name,Lat,Long,Type
07335300,"Muddy Boggy Creek near Unger, OK",34.02676714,-95.7502479,Streamflow
07335500,"Red River at Arthur City, TX",33.8751049,-95.5019023,Streamflow
07335700,"Kiamichi River near Big Cedar, OK",34.63843685,-94.6127236,Streamflow
07335790,"Kiamichi River near Clayton, OK",34.5748229,-95.3408025,Streamflow
07336200,"Kiamichi River near Antlers, OK",34.24871203,-95.6052475,Streamflow
07336820,"Red River near De Kalb, TX",33.68400005,-94.6943774,Streamflow
07337900,"Glover River near Glover, OK",34.09760677,-94.9021667,Streamflow
07338500,"Little River blw Lukfata Creek, nr Idabel, OK",33.94122094,-94.7585482,Streamflow
07338750,"Mountain Fork at Smithville, OK",34.4623262,-94.6352202,Streamflow
07339000,"Mountain Fork near Eagletown, OK",34.04177757,-94.6199358,Streamflow
